,Event ID,Recalling Firm,Substance Name,Product Description,Ingestion Route,Reason,Classification,Quantity,Voluntary/Mandated,Distribution,Initial Notification Method,Recall Begins,Recall End,Status,City,State,Postal Code,Country
0,72241,"Kalman Health & Wellness, Inc. dba Essential Wellness Pharma",['na'],"Progesterone 100 mg/mL in Corn Oil Injection, 2 mL vials, Rx only, Essential Wellness PHARMACY, 4625 N. University, Peoria, IL 61614.",na,Lack of Assurance of Sterility,Class II,1 vial,Voluntary: Firm initiated,Nationwide,Letter,9/3/2015,12/29/2017,Terminated,Peoria,IL,61614-5828,United States
1,86162,Albek De Mexico S.A. De C.V.,['na'],"Assured Instant Hand Sanitizer Aloe & Moisturizers (Ethyl Alcohol 70% v/v) 8 fl oz / 237 mL bottle, Distributed By: Greenbrier International, Inc. 500 Volvo Parkway, Chesapeake, VA 23320. Made in Mexico.UPC 639277928610",na,CGMP Deviations,Class II,"27,000 bottles",Voluntary: Firm initiated,USA Nationwide,Press Release,7/30/2020,,Ongoing,San Juan Del Rio,,,Mexico
2,85712,Teva Pharmaceuticals USA,"['AMPHETAMINE ASPARTATE MONOHYDRATE', 'AMPHETAMINE SULFATE', 'DEXTROAMPHETAMINE SACCHARATE', 'DEXTROAMPHETAMINE SULFATE']","Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets ( Mixed Amphetamine Salts Product), 5 mg, 100 count bottles, Rx Only, Teva Pharmaceuticals USA, INC. North Wales, PA 19454, NDC 0555-0971-02",ORAL,Some bottles may contain mixed strengths of the product.,Class II,"33,280 bottles",Voluntary: Firm initiated,Nationwide within the United State and Puerto Rico.,Letter,5/22/2020,5/25/2021,Terminated,Parsippany,NJ,07054-1120,United States
3,88905,Perrigo Company PLC,['OXYMETAZOLINE HYDROCHLORIDE'],"No Drip Nasal Spray, Oxymetazoline HCl 0.05% Nasal Decongestant, 1 FL Oz (30 mL) per bottle, Distributed by SUPERVALU INC., Eden Prairie, MN 55344 USA. NDC 41163-703-10",NASAL,CGMP Deviations,Class II,"1,560 bottles",Voluntary: Firm initiated,Nationwide in the USA,Letter,10/26/2021,9/29/2023,Terminated,Allegan,MI,49010-9070,United States
4,74057,"Pharmedium Services, LLC",['na'],"2 mcg/mL Fentanyl Citrate and 0.16% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride,	 100 mL in 150 mL Baxter Intravia Bag, Service Code 2K8102, Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141, NDC 61553-102-48",na,Presence of Particulate Matter,Class II,940 bags,Voluntary: Firm initiated,Nationwide,E-Mail,5/5/2016,3/6/2018,Terminated,Lake Forest,IL,60045-2506,United States
5,68660,Pfizer Inc.,['NELFINAVIR MESYLATE'],"VIRACEPT (R) (nelfinavir mesylate) Tablets, 625 mg, 120-count bottle, Rx only, Manufactured by: Agouron Pharmaceuticals, Inc. A Pfizer Company,  Distributed by: ViV Healthcare Company, Research Triangle Park, NC 27709  NDC 63010-027-70",ORAL,Labeling,Class III,1200  tablets,Voluntary: Firm initiated,Nationwide and Puerto Rico,Letter,7/8/2014,7/6/2015,Terminated,New York,NY,10017-5703,United States
6,81002,"Pharm D Solutions, LLC",['na'],"Trimix QM10 Papaverine 30 mg/Phentolamine 4 mg/Atropine 1 mg/PGE 150 mcg/mL Injectable, Pharm D Solutions, Houston, Texas --- NDC 69699-1352-05",na,Lack of Assurance of Sterility,Class II,9 vials,Voluntary: Firm initiated,Nationwide,Press Release,9/10/2018,2/5/2021,Terminated,Houston,TX,77054-4010,United States
7,66316,AmeriSource Bergen,['na'],"Ifosfamide Injection 3g/60 mL, Single dose vial, Rx only, Sterile, For Intravenous Use, Refrigerate at 2-8 degrees celcius, Distributed by Pfizer Labs, Division of Pfizer Inc., New York, NY 10017, NDC 0069-4496-22",na,Temperature abuse,Class II,60 vials,Voluntary: Firm initiated,Nationwide,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",9/13/2013,10/1/2014,Terminated,Chesterbrook,PA,19087-5559,United States
8,77601,Apace KY LLC,['na'],"Amantadine HCl Capsules, USP, 100 mg, Rx Only,  50 Capsules (5x10) Unit Dose Cartons, Manufactured for: AvKARE Inc, Pulaski, TN 38478 --- NDC: 50268-0069-15",na,"Labeling; Label Mix up; cartons labeled as Amantadine HCl 100 mg Capsules contain unit dose blister cards of Cyclobenzaprine HCl Tablet, USP 5 mg",Class II,"1,483 cartons",Voluntary: Firm initiated,KY,E-Mail,6/19/2017,5/4/2018,Terminated,Fountain Run,KY,42133-7914,United States
9,87512,Cardinal Health Inc.,['AZILSARTAN KAMEDOXOMIL'],"Edarbi (azilsartan medoxomil) tablets 80 mg 30 Tablets Rx Only NDC 60631-080-30 Manufactured for: arbor Pharmaceuticals Atlanta, GA 30328",ORAL,CGMP Deviations,Class II,328 bottles,Voluntary: Firm initiated,"FL, GA, SC",Letter,3/15/2021,,Completed,Dublin,OH,43017-1091,United States
